PARTS_IN_PAGE_ID	HTML_PAGE_ID	HTML_PARTS_ID	ORD_IN_GRP	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1000001	1000001	1000001	1	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000002	1000001	1000002	2	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000101	1000101	1000001	1	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000102	1000101	1000002	2	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000103	1000101	1000101	3	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000201	1000201	1000001	1	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000202	1000201	1000002	2	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000203	1000201	1001101	3	1	0	data_loader	2024-11-24 00:00:00	data_loader	2024-11-24 00:00:00
1000204	1000201	1000201	4	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-11-24 00:00:00
1000205	1000201	1000301	5	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-11-24 00:00:00
1000301	1000301	1000001	1	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000302	1000301	1000002	2	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000303	1000301	1000401	3	1	0	data_loader	2024-06-23 00:00:00	data_loader	2024-06-23 00:00:00
1000304	1000301	1000301	4	1	0	data_loader	2024-08-31 00:00:00	data_loader	2024-08-31 00:00:00
1000401	1000401	1000001	1	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1000402	1000401	1000501	2	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-11-02 00:00:00
1000501	1000501	1000001	1	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1000502	1000501	1000002	2	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-08-11 00:00:00
1000503	1000501	1001101	3	1	0	data_loader	2024-11-24 00:00:00	data_loader	2024-11-24 00:00:00
1000504	1000501	1000601	4	1	0	data_loader	2024-08-11 00:00:00	data_loader	2024-11-24 00:00:00
1000505	1000501	1000301	5	1	0	data_loader	2024-08-31 00:00:00	data_loader	2024-11-24 00:00:00
1000601	1000601	1000001	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000602	1000601	1000002	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000603	1000601	1000701	3	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000604	1000601	1000301	4	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000701	1000701	1000001	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000702	1000701	1000002	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000703	1000701	1000701	3	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000704	1000701	1000301	4	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000801	1000801	1000001	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000802	1000801	1000002	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000803	1000801	1000701	3	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000804	1000801	1000301	4	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000901	1000901	1000001	1	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000902	1000901	1000002	2	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000903	1000901	1000701	3	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1000904	1000901	1000301	4	1	0	data_loader	2024-09-15 00:00:00	data_loader	2024-09-15 00:00:00
1001001	1001001	1000001	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001002	1001001	1000002	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001003	1001001	1000801	3	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001004	1001001	1000301	4	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001101	1001101	1000001	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001102	1001101	1000002	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001103	1001101	1001101	3	1	0	data_loader	2024-11-24 00:00:00	data_loader	2024-11-24 00:00:00
1001104	1001101	1000901	4	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-24 00:00:00
1001105	1001101	1000301	5	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-24 00:00:00
1001106	1001101	1001001	6	1	0	data_loader	2024-11-17 00:00:00	data_loader	2024-11-24 00:00:00
1001201	1001201	1000001	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001202	1001201	1000002	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001203	1001201	1001101	3	1	0	data_loader	2024-11-24 00:00:00	data_loader	2024-11-24 00:00:00
1001204	1001201	1000801	4	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-24 00:00:00
1001205	1001201	1000301	5	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-11-24 00:00:00
1001206	1001201	1001001	6	1	0	data_loader	2024-11-17 00:00:00	data_loader	2024-11-24 00:00:00
1001301	1001301	1000001	1	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001302	1001301	1000002	2	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001303	1001301	1000701	3	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001304	1001301	1000301	4	1	0	data_loader	2024-09-16 00:00:00	data_loader	2024-09-16 00:00:00
1001401	1001401	1000001	1	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-10-14 00:00:00
